t;code1;code2;code3;N;log10N
0;r111;r11;r1;11096.6375;4.04519139892853
1.5;r111;r11;r1;32617.4732;4.51345031422108
3;r111;r11;r1;81606.143;4.91172285202085
4.5;r111;r11;r1;315117.1292;5.49847201128205
6;r111;r11;r1;299039.139;5.47572803360643
7.5;r111;r11;r1;341570.913;5.53348088057246
9;r111;r11;r1;512594.2965;5.70977376959626
10.5;r111;r11;r1;560476.5797;5.74855746970608
12;r111;r11;r1;462879.6032;5.66546804400844
13.5;r111;r11;r1;588388.7671;5.76966437304079
15;r111;r11;r1;584605.0542;5.76686256572837
16.5;r111;r11;r1;622608.163;5.79421481040788
0;r112;r11;r1;9927.6733;3.99684747695746
1.5;r112;r11;r1;26711.6283;4.42670036275558
3;r112;r11;r1;97640.908;4.98963180943376
4.5;r112;r11;r1;308616.1607;5.48941866417388
6;r112;r11;r1;497807.6006;5.69706152319552
7.5;r112;r11;r1;335142.0335;5.5252289004473
9;r112;r11;r1;533303.2233;5.72697420857913
10.5;r112;r11;r1;527869.8422;5.72252685097566
12;r112;r11;r1;609294.8913;5.78482753674991
13.5;r112;r11;r1;692862.8375;5.84064726807103
15;r112;r11;r1;539902.3197;5.73231519342928
16.5;r112;r11;r1;594296.5897;5.77400323811835
0;r121;r12;r1;10493.4621;4.02091879828531
1.5;r121;r12;r1;35620.8722;4.55170454923754
3;r121;r12;r1;150503.6965;5.17754716670619
4.5;r121;r12;r1;338465.8547;5.52951486249429
6;r121;r12;r1;467865.6646;5.67012117466022
7.5;r121;r12;r1;345291.7187;5.5381861625776
9;r121;r12;r1;555450.8246;5.74464561584176
10.5;r121;r12;r1;512289.9307;5.70951581969753
12;r121;r12;r1;624325.7296;5.79541123336641
13.5;r121;r12;r1;731513.3828;5.86422227581065
15;r121;r12;r1;659842.2586;5.8194401258336
16.5;r121;r12;r1;693536.8777;5.84106955892884
0;r122;r12;r1;14013.1623;4.14653615202145
1.5;r122;r12;r1;41186.1891;4.61475160915941
3;r122;r12;r1;212091.0564;5.32652235527742
4.5;r122;r12;r1;126233.7278;5.10117540752629
6;r122;r12;r1;685226.5714;5.83583419549115
7.5;r122;r12;r1;336508.5718;5.52699613137731
9;r122;r12;r1;596234.2376;5.77541691093483
10.5;r122;r12;r1;506159.7667;5.70428762127541
12;r122;r12;r1;627313.9197;5.79748492436474
13.5;r122;r12;r1;715918.4508;5.85486355529026
15;r122;r12;r1;646557.2857;5.81060700989889
16.5;r122;r12;r1;679303.6341;5.83206393796089
0;r211;r21;r2;11723.2148;4.06904672247136
1.5;r211;r21;r2;32969.9612;4.5181184360532
3;r211;r21;r2;92495.2712;4.96611953009857
4.5;r211;r21;r2;234726.0008;5.37056119943468
6;r211;r21;r2;328763.6306;5.5168837677994
7.5;r211;r21;r2;277154.2792;5.44272158838978
9;r211;r21;r2;276752.1152;5.44209094885041
10.5;r211;r21;r2;288018.2633;5.45942002733886
12;r211;r21;r2;384542.5671;5.58494442120743
13.5;r211;r21;r2;479344.1248;5.68064740870203
15;r211;r21;r2;477067.126;5.67857949099051
16.5;r211;r21;r2;529254.4616;5.72366452779696
0;r212;r21;r2;12960.9721;4.11263757575011
1.5;r212;r21;r2;41587.2701;4.61896041304544
3;r212;r21;r2;102430.5725;5.01042960006154
4.5;r212;r21;r2;528160.5058;5.72276592289438
6;r212;r21;r2;378747.1395;5.57834936149965
7.5;r212;r21;r2;356672.8044;5.55226999650045
9;r212;r21;r2;333649.6807;5.52329071357074
10.5;r212;r21;r2;403139.203;5.60545503288072
12;r212;r21;r2;402258.3597;5.6045050783369
13.5;r212;r21;r2;461286.9565;5.66397117452987
15;r212;r21;r2;554737.7028;5.74408768374713
16.5;r212;r21;r2;516753.758;5.71328364364036
0;r221;r22;r2;10406.9646;4.01732407728193
1.5;r221;r22;r2;52834.725;4.7229194513015
3;r221;r22;r2;79773.1208;4.90185658239481
4.5;r221;r22;r2;229094.9515;5.36001551887141
6;r221;r22;r2;320445.0841;5.50575361352464
7.5;r221;r22;r2;298478.8121;5.47491350761063
9;r221;r22;r2;303254.9628;5.48180791687256
10.5;r221;r22;r2;303528.2516;5.48219912026452
12;r221;r22;r2;307945.7461;5.48847420921193
13.5;r221;r22;r2;347691.1889;5.5411936850445
15;r221;r22;r2;425530.9938;5.62893119766644
16.5;r221;r22;r2;589855.0813;5.77074532499384
0;r222;r22;r2;12060.9647;4.08138204637219
1.5;r222;r22;r2;39962.0397;4.6016476469175
3;r222;r22;r2;97473.0454;4.9888845351603
4.5;r222;r22;r2;378438.4889;5.57799529968228
6;r222;r22;r2;355461.133;5.55079212082829
7.5;r222;r22;r2;417439.4974;5.62059353886294
9;r222;r22;r2;547863.8579;5.73867265135218
10.5;r222;r22;r2;504370.8644;5.70274999107358
12;r222;r22;r2;512677.1684;5.70984397697096
13.5;r222;r22;r2;543267.8593;5.735014012154
15;r222;r22;r2;527299.0151;5.72205696014801
16.5;r222;r22;r2;560930.209;5.74890882964888
0;r311;r31;r3;8865.5479;3.94770558061305
1.5;r311;r31;r3;28915.455;4.46113003054709
3;r311;r31;r3;164193.0463;5.2153547604723
4.5;r311;r31;r3;439526.122;5.642984691249
6;r311;r31;r3;292049.4618;5.46545641024185
7.5;r311;r31;r3;355308.1967;5.55060522646067
9;r311;r31;r3;471147.1552;5.6731565731796
10.5;r311;r31;r3;460626.383;5.66334880914531
12;r311;r31;r3;482166.2416;5.68319680040048
13.5;r311;r31;r3;522011.0835;5.71767972417427
15;r311;r31;r3;518701.4353;5.71491744973256
